citation_key,title,year,topic_group,dataset,models,method,main_finding,limitation,how_it_supports_this_paper,where_to_cite,relevance_score_1_to_5
ramaswamy2023geode,GeoDE: A Geographically Diverse Evaluation Dataset for Object Recognition,2023,GeoDE and geographically diverse object recognition,GeoDE,object recognition models,dataset construction and evaluation,Introduces GeoDE as a geographically diverse object-recognition evaluation dataset,Dataset-specific local statistics must be audited separately,Core dataset motivation and direct support for region-level evaluation,Datasets; Related Work; Methodology,5
rojas2022dollarstreet,The Dollar Street Dataset: Images Representing the Geographic and Socioeconomic Diversity of the World,2022,Dollar Street and socioeconomic/geographic visual diversity,Dollar Street,object recognition models,dataset construction and benchmark experiments,Introduces Dollar Street as a household-object dataset with geographic and socioeconomic diversity,Local subset statistics must be audited separately,Supports dataset choice and socioeconomic/geographic diversity motivation,Datasets; Related Work,5
devries2019object,Does Object Recognition Work for Everyone?,2019,Geographic and regional bias in computer vision,Dollar Street,commercial services and ResNet-family models,empirical evaluation across countries and income,Reports object-recognition disparities across countries and income contexts on Dollar Street,Different models and setup from this paper,Closest prior motivation for regional/socioeconomic object-recognition disparity,Introduction; Related Work; Discussion,5
shankar2017geodiversity,No Classification without Representation,2017,Geodiversity in visual datasets,Open image datasets,image classifiers,geodiversity audit and classifier evaluation,Finds amerocentric/eurocentric representation bias and locale-linked performance differences,Older and not specific to GeoDE/Dollar Street,Supports why geographic representation matters before model deployment,Introduction; Related Work; Discussion,5
kalluri2023geonet,GeoNet: Benchmarking Unsupervised Adaptation across Geographies,2023,Geographic robustness and adaptation,GeoPlaces; GeoImNet; GeoUniDA,vision models and adaptation methods,geographic adaptation benchmark,Identifies geographic shifts including context shift design shift and prior shift,Studies adaptation not this paper's finetune/pretrained comparison,Supports possible explanations for regional accuracy differences,Related Work; Discussion,5
torralba2011datasetbias,Unbiased Look at Dataset Bias,2011,Dataset bias in object recognition,multiple recognition datasets,generic classifiers,cross-dataset evaluation,Shows dataset-specific biases can affect recognition generalization,Older pre-foundation-model era,Frames why dataset source and collection process matter,Related Work,4
wang2022revise,REVISE: A Tool for Measuring and Mitigating Bias in Visual Datasets,2022,Dataset bias and geography-aware auditing,visual datasets,generic,dataset auditing tool,Provides tools for surfacing object person and geography-related visual dataset biases,Tool is not this paper's metric pipeline,Supports geography-aware dataset auditing and limitation language,Related Work; Limitations,4
deng2009imagenet,ImageNet: A Large-Scale Hierarchical Image Database,2009,ImageNet bias and dataset representation,ImageNet,ImageNet classifiers,dataset construction,Introduces ImageNet as a large-scale object-recognition dataset,Does not address regional fairness directly,Background for pretrained ImageNet setting,Datasets; Experiments,4
yang2020fairerimagenet,Towards Fairer Datasets,2020,ImageNet bias and dataset representation,ImageNet,downstream vision models,dataset filtering and balancing analysis,Shows ImageNet taxonomy/representation issues can create problematic downstream behavior,People subtree focus differs from object-region focus,Supports caution that ImageNet is not a neutral universal reference,Related Work; Discussion,4
luccioni2022bugs,Bugs in the Data,2022,ImageNet bias and dataset representation,ImageNet,wildlife classifiers,dataset audit,Finds label geographic and cultural issues in ImageNet wildlife classes,Biodiversity focus not household-object recognition,Supports ImageNet-data caution and representation-bias framing,Related Work; Limitations,4
